id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
638,2026-03-10,BofA Scalp,short,A+,90.0,2026-03-10 12:09:49.943201,6811.49,,,6813.0,6801.49,,,1.51,BOFA-PURE,23.23,,-1,-2.05,LOSS,-13.5,0.0,-15.0,25,stop,6801.49,6825.0,6825.0,6801.49,,6893647220.78,171600327.54,3021824564.95,
639,2026-03-10,DD Exhaustion,short,A-Entry,50.0,2026-03-10 12:14:24.405410,6815.59,,,,,,,,GEX-PURE,23.08,,-1,-1.79,LOSS,-12.0,0.55,-12.51,25,stop,,6827.59,,,,6884702730.47,191047848.75,3080746565.56,
641,2026-03-10,Paradigm Reversal,short,A-Entry,50.0,2026-03-10 12:18:55.439278,6821.21,,,6817.0,,,,4.21,BOFA-PURE,22.96,,-1,-2.01,LOSS,-15.0,3.91,-15.64,59,stop,6811.21,6836.21,,,,6903058386.27,178172414.64,3054954958.22,
642,2026-03-10,Skew Charm,short,B,60.0,2026-03-10 12:26:54.380959,6822.9,,,,6812.9,,,,BOFA-PURE,22.84,,-1,-2.07,LOSS,-20.0,5.6,-20.15,61,stop,,6842.9,,,,6890408760.94,186494133.46,3088330735.06,
643,2026-03-10,DD Exhaustion,short,A,55.0,2026-03-10 12:36:59.297869,6826.71,,,,,,,,BOFA-PURE,22.74,,-1,-2.16,LOSS,-12.0,7.69,-12.63,48,stop,,6838.71,,,,6791878832.85,192181349.11,3043178159.62,
645,2026-03-10,Skew Charm,short,B,55.0,2026-03-10 12:45:28.069021,6825.67,,,,6815.67,,,,BOFA-PURE,22.83,,-1,-2.22,WIN,19.8,37.51,-19.41,95,target,6796.16,6845.67,,,,6778518061.9,215516096.33,3110762397.9,
646,2026-03-10,DD Exhaustion,short,A,62.0,2026-03-10 13:09:22.378766,6833.27,,,,,,,,BOFA-PURE,22.55,,-1,-2.14,WIN,18.5,32.05,-11.81,66,target,6806.22,6845.27,,,,6734201284.35,217905321.17,3158723285.74,
647,2026-03-10,Skew Charm,short,B,55.0,2026-03-10 13:15:23.338742,6830.01,,,,6820.01,,,,BOFA-PURE,22.67,,-1,-2.26,WIN,6.2,10.49,-15.07,26,target,6827.52,6850.01,,,,6750746736.18,212765542.99,3166901226.27,
648,2026-03-10,DD Exhaustion,short,A+,75.0,2026-03-10 13:43:52.283120,6827.58,,,,,,,,BOFA-PURE,22.93,,-1,-1.96,WIN,15.7,26.36,-8.84,32,target,6806.22,6839.58,,,,6727164243.61,114497190.02,2957251641.81,
649,2026-03-10,Skew Charm,short,B,60.0,2026-03-10 13:45:52.250819,6825.65,,,,6815.65,,,,BOFA-PURE,22.98,,-1,-1.96,WIN,19.7,37.49,-10.77,35,target,6796.16,6845.65,,,,6707429352.11,132111738.43,2981646166.74,
