id,trade_date,setup_name,grade,ts_et,spot,charm_limit,offset,filled,fill_time,market_sl,limit_sl,market_outcome,market_pnl,limit_outcome,limit_pnl,change
848,2026-03-16,Skew Charm,B,2026-03-16 14:21,6707.68,6717.5,9.82,NO,,6721.7,,LOSS,-20.0,TIMEOUT,0.0,saved 20.0
850,2026-03-16,DD Exhaustion,A+,2026-03-16 14:43,6709.59,6717.5,7.91,YES,15:05,6721.6,6729.5,LOSS,-12.0,LOSS,-1.0,reduced 11.0
851,2026-03-16,Skew Charm,C,2026-03-16 14:52,6709.18,6717.5,8.32,YES,15:05,6723.2,6731.5,LOSS,-20.0,WIN,8.6,FLIP LOSS->WIN
856,2026-03-17,Skew Charm,A+,2026-03-17 09:45,6746.34,6753.0,6.66,NO,,6760.3,,WIN,10.8,TIMEOUT,0.0,lost opp 10.8
865,2026-03-17,DD Exhaustion,A,2026-03-17 10:45,6742.26,6753.0,10.74,NO,,6754.3,,WIN,17.0,TIMEOUT,0.0,lost opp 17.0
866,2026-03-17,Paradigm Reversal,A,2026-03-17 10:57,6742.59,6754.5,11.91,NO,,6757.6,,WIN,10.0,TIMEOUT,0.0,lost opp 10.0
867,2026-03-17,Skew Charm,A+,2026-03-17 10:57,6742.59,6754.5,11.91,NO,,6756.6,,WIN,9.0,TIMEOUT,0.0,lost opp 9.0
870,2026-03-17,BofA Scalp,A,2026-03-17 11:25,6729.71,6739.5,9.79,NO,,6743.7,,WIN,10.0,TIMEOUT,0.0,lost opp 10.0
874,2026-03-17,AG Short,A,2026-03-17 11:44,6721.15,6719.5,-1.65,YES,11:45,6729.1,6727.5,EXPIRED,6.4,LOSS,-8.0,FLIP EXPIRED->LOSS
880,2026-03-17,AG Short,A,2026-03-17 12:19,6721.2,6721.0,-0.2,YES,12:20,6729.2,6729.0,EXPIRED,6.4,LOSS,-8.0,FLIP EXPIRED->LOSS
883,2026-03-17,AG Short,A-Entry,2026-03-17 12:43,6718.74,6719.5,0.76,YES,12:45,6726.7,6727.5,EXPIRED,4.0,LOSS,-8.0,FLIP EXPIRED->LOSS
897,2026-03-17,BofA Scalp,A-Entry,2026-03-17 14:08,6730.76,6737.5,6.74,NO,,6744.8,,WIN,10.0,TIMEOUT,0.0,lost opp 10.0
903,2026-03-17,DD Exhaustion,A-Entry,2026-03-17 15:16,6723.48,6724.0,0.52,NO,,6735.5,,EXPIRED,8.7,TIMEOUT,0.0,lost opp 8.7
904,2026-03-17,Skew Charm,B,2026-03-17 15:16,6723.48,6724.0,0.52,NO,,6737.5,,EXPIRED,8.7,TIMEOUT,0.0,lost opp 8.7
