date,bar_idx,direction,is_multi,entry_price,et_end,delta,volume,body_ratio,vol_ratio,paradigm,lis_val,lis_dist,dd_dir,svb_val,charm_val,paradigm_aligned,dd_aligned,charm_aligned,A_outcome,A_pnl,A_max_profit,A_bars_held,A_mfe,A_mae,B_outcome,B_pnl,B_max_profit,B_bars_held,B_mfe,B_mae,C_outcome,C_pnl,C_max_profit,C_bars_held,C_mfe,C_mae,D_outcome,D_pnl,D_max_profit,D_bars_held,D_mfe,D_mae,E_outcome,E_pnl,E_max_profit,E_bars_held,E_mfe,E_mae,F_outcome,F_pnl,F_max_profit,F_bars_held,F_mfe,F_mae,fixed_outcome,fixed_pnl
2026-03-02,448,bullish,False,6864.25,11:35:56,-950,8026,0.4,1.5721225417221656,GEX-LIS,6840.0,24.25,neutral,1.82,-26606062.0,True,False,False,WIN,8.25,13.25,3,13.25,0.5,WIN,22.25,30.25,9,30.25,0.5,WIN,20.25,30.25,10,30.25,0.5,WIN,8.25,13.25,3,13.25,0.5,T1:WIN/T2:WIN,9.12,13.25,3,13.25,0.5,WIN,22.25,30.25,9,30.25,0.5,WIN,10.0
2026-03-02,468,bearish,False,6896.5,12:24:27,965,15693,0.35,2.5801731295676693,GEX-PURE,6857.0,39.5,neutral,1.15,-96809482.0,False,False,True,WIN,5.0,10.0,3,10.0,0.0,BE,0.0,11.25,10,11.25,1.25,BE,0.0,11.25,10,11.25,1.25,WIN,5.0,10.0,3,10.0,0.0,T1:WIN/T2:WIN,7.5,10.0,3,10.0,0.0,WIN,3.25,11.25,8,11.25,0.0,WIN,10.0
2026-03-02,471,bullish,True,6891.5,12:32:20,-725,10827,0.0,0.24727634374576193,GEX-PURE,6860.0,31.5,neutral,1.22,-93591097.0,True,False,False,LOSS,-8.0,7.25,15,7.25,9.0,LOSS,-8.0,7.25,15,7.25,9.0,LOSS,-8.0,7.25,15,7.25,9.0,LOSS,-8.0,7.25,15,7.25,9.0,T1:LOSS/T2:LOSS,-8.0,7.25,15,7.25,9.0,LOSS,-0.75,7.25,10,7.25,6.25,LOSS,-8.0
2026-03-02,480,bearish,False,6893.75,13:10:00,457,14233,0.55,2.5833560214175515,GEX-PURE,6866.0,27.75,neutral,1.17,-110326547.0,False,False,True,WIN,6.25,11.25,6,11.25,1.75,WIN,9.75,17.75,14,17.75,1.75,WIN,7.75,17.75,15,17.75,1.75,WIN,6.25,11.25,6,11.25,1.75,T1:WIN/T2:WIN,8.12,11.25,6,11.25,1.75,WIN,9.75,17.75,14,17.75,1.75,WIN,10.0
2026-03-02,501,bullish,False,6904.5,14:27:34,-371,5965,0.55,0.8749156619437355,GEX-LIS,6838.0,66.5,neutral,1.07,-234071892.0,True,False,False,LOSS,-8.0,6.75,7,6.75,8.25,LOSS,-8.0,6.75,7,6.75,8.25,LOSS,-8.0,6.75,7,6.75,8.25,LOSS,-8.0,6.75,7,6.75,8.25,T1:LOSS/T2:LOSS,-8.0,6.75,7,6.75,8.25,LOSS,-1.25,6.75,6,6.75,3.25,LOSS,-8.0
2026-03-02,517,bullish,False,6877.5,15:14:24,-601,4883,0.25,0.6063541142796829,GEX-LIS,6773.0,104.5,neutral,1.5,205204291.0,True,False,True,WIN,5.0,10.0,5,10.0,4.75,WIN,4.75,12.75,10,12.75,4.75,BE,0.0,12.75,17,12.75,4.75,WIN,5.0,10.0,5,10.0,4.75,T1:WIN/T2:WIN,7.5,10.0,5,10.0,4.75,WIN,4.75,12.75,10,12.75,4.75,WIN,10.0
2026-03-02,531,bullish,False,6880.5,15:23:03,-319,6053,0.4,1.5528675329339783,GEX-LIS,6765.0,115.5,neutral,1.45,272127955.0,True,False,True,BE,0.0,8.25,12,8.25,3.25,BE,0.0,8.25,12,8.25,3.25,WIN,8.25,16.75,23,16.75,3.25,WIN,5.75,10.75,15,10.75,3.25,T1:WIN/T2:WIN,7.88,10.75,15,10.75,3.25,LOSS,-3.0,5.0,3,5.0,3.0,WIN,10.0
2026-03-02,541,bullish,True,6883.75,15:39:50,-764,12884,0.12121212121212122,1.9691252144082332,BOFA-PURE,6760.0,123.75,neutral,1.69,543649177.0,False,False,True,WIN,6.25,11.25,10,11.25,4.0,WIN,5.5,13.5,13,13.5,4.0,WIN,5.0,13.5,13,13.5,4.0,WIN,6.25,11.25,10,11.25,4.0,T1:WIN/T2:WIN,8.12,11.25,10,11.25,4.0,WIN,5.5,13.5,13,13.5,4.0,WIN,10.0
2026-03-03,347,bearish,True,6784.0,09:36:59,876,5104,0.35294117647058826,1.0028090343741374,AG-PURE,6822.0,38.0,neutral,3.05,93674845.0,True,False,False,LOSS,-8.0,2.75,5,2.75,10.0,LOSS,-8.0,2.75,5,2.75,10.0,LOSS,-8.0,2.75,5,2.75,10.0,LOSS,-8.0,2.75,5,2.75,10.0,T1:LOSS/T2:LOSS,-8.0,2.75,5,2.75,10.0,LOSS,-5.25,2.75,4,2.75,7.0,LOSS,-8.0
2026-03-03,365,bearish,True,6759.75,09:44:26,933,7283,0.2727272727272727,2.0693076323435617,BofA-LIS,6764.0,4.25,neutral,2.54,114650896.0,False,False,False,LOSS,-8.0,7.75,7,7.75,8.0,LOSS,-8.0,7.75,7,7.75,8.0,LOSS,-8.0,7.75,7,7.75,8.0,LOSS,-8.0,7.75,7,7.75,8.0,T1:LOSS/T2:LOSS,-8.0,7.75,7,7.75,8.0,LOSS,-0.25,7.75,5,7.75,1.75,LOSS,-8.0
2026-03-03,404,bearish,False,6742.25,09:58:39,393,3587,0.75,1.5571279736065289,AG-PURE,6772.0,29.75,neutral,3.57,78288705.0,True,False,False,LOSS,-8.0,0.75,3,0.75,12.0,LOSS,-8.0,0.75,3,0.75,12.0,LOSS,-8.0,0.75,3,0.75,12.0,LOSS,-8.0,0.75,3,0.75,12.0,T1:LOSS/T2:LOSS,-8.0,0.75,3,0.75,12.0,LOSS,-7.25,0.75,2,0.75,7.25,LOSS,-8.0
2026-03-03,416,bullish,False,6744.75,10:02:44,-440,3666,0.4,1.3757129990993695,AG-PURE,6771.0,26.25,neutral,3.77,75490142.0,False,False,True,WIN,5.25,10.25,12,10.25,6.25,BE,0.0,10.25,18,10.25,6.25,BE,0.0,10.25,18,10.25,6.25,WIN,5.25,10.25,12,10.25,6.25,T1:WIN/T2:WIN,7.62,10.25,12,10.25,6.25,LOSS,-3.0,5.0,6,5.0,4.75,WIN,10.0
2026-03-03,428,bearish,True,6750.0,10:06:32,642,3076,0.3103448275862069,0.6500783614933769,AG-PURE,6774.0,24.0,neutral,3.77,62641834.0,True,False,False,WIN,5.25,10.25,7,10.25,3.25,BE,0.0,10.25,9,10.25,3.25,BE,0.0,10.25,9,10.25,3.25,WIN,5.25,10.25,7,10.25,3.25,T1:WIN/T2:WIN,7.62,10.25,7,10.25,3.25,WIN,2.25,10.25,8,10.25,3.25,WIN,10.0
2026-03-03,439,bearish,False,6744.0,10:10:42,635,4061,0.2,2.0041454868479494,AG-PURE,6774.0,30.0,neutral,3.86,60601425.0,True,False,False,LOSS,-8.0,2.75,3,2.75,9.0,LOSS,-8.0,2.75,3,2.75,9.0,LOSS,-8.0,2.75,3,2.75,9.0,LOSS,-8.0,2.75,3,2.75,9.0,T1:LOSS/T2:LOSS,-8.0,2.75,3,2.75,9.0,LOSS,-5.25,2.75,3,2.75,9.0,LOSS,-8.0
2026-03-03,463,bearish,False,6724.75,10:22:12,658,7642,0.75,3.0709879643955076,AG-PURE,6747.0,22.25,neutral,3.66,36645405.0,True,False,False,LOSS,-8.0,6.0,19,6.0,10.75,LOSS,-8.0,6.0,19,6.0,10.75,LOSS,-8.0,6.0,19,6.0,10.75,LOSS,-8.0,6.0,19,6.0,10.75,T1:LOSS/T2:LOSS,-8.0,6.0,19,6.0,10.75,LOSS,-4.25,3.75,3,3.75,5.25,LOSS,-8.0
2026-03-03,473,bullish,False,6723.75,10:27:52,-776,9634,0.6,2.914183732115309,AG-PURE,6746.0,22.25,neutral,4.87,35867482.0,False,False,True,WIN,6.75,11.75,9,11.75,5.0,WIN,9.5,17.5,13,17.5,5.0,WIN,7.5,17.5,13,17.5,5.0,WIN,6.75,11.75,9,11.75,5.0,T1:WIN/T2:WIN,8.38,11.75,9,11.75,5.0,WIN,9.5,17.5,13,17.5,5.0,WIN,10.0
2026-03-03,488,bearish,False,6735.75,10:35:07,339,3753,0.25,1.1603209200946065,AG-PURE,6716.0,19.75,neutral,5.1,42273424.0,True,False,False,LOSS,-8.0,5.25,5,5.25,8.75,LOSS,-8.0,5.25,5,5.25,8.75,LOSS,-8.0,5.25,5,5.25,8.75,LOSS,-8.0,5.25,5,5.25,8.75,T1:LOSS/T2:LOSS,-8.0,5.25,5,5.25,8.75,LOSS,-2.75,5.25,4,5.25,4.75,LOSS,-8.0
2026-03-03,514,bearish,True,6736.0,10:45:52,617,3521,0.08,1.0918610185625892,AG-PURE,6734.0,2.0,neutral,4.18,48501079.0,True,False,False,LOSS,-8.0,1.5,3,1.5,8.25,LOSS,-8.0,1.5,3,1.5,8.25,LOSS,-8.0,1.5,3,1.5,8.25,LOSS,-8.0,1.5,3,1.5,8.25,T1:LOSS/T2:LOSS,-8.0,1.5,3,1.5,8.25,LOSS,-6.5,1.5,3,1.5,8.25,LOSS,-8.0
2026-03-03,547,bearish,False,6745.0,11:00:34,347,5857,0.25,3.0028967674126483,AG-TARGET,6729.0,16.0,neutral,4.51,31796050.0,True,False,False,LOSS,-8.0,5.25,7,5.25,11.25,LOSS,-8.0,5.25,7,5.25,11.25,LOSS,-8.0,5.25,7,5.25,11.25,LOSS,-8.0,5.25,7,5.25,11.25,T1:LOSS/T2:LOSS,-8.0,5.25,7,5.25,11.25,LOSS,-2.75,5.25,5,5.25,4.25,LOSS,-8.0
2026-03-03,566,bearish,False,6771.25,11:13:43,327,5429,0.25,1.4412190233478013,BofA-LIS,6748.0,23.25,neutral,3.24,61001420.0,False,False,False,LOSS,-8.0,1.0,3,1.0,9.5,LOSS,-8.0,1.0,3,1.0,9.5,LOSS,-8.0,1.0,3,1.0,9.5,LOSS,-8.0,1.0,3,1.0,9.5,T1:LOSS/T2:LOSS,-8.0,1.0,3,1.0,9.5,LOSS,-7.0,1.0,3,1.0,9.5,LOSS,-8.0
2026-03-03,569,bullish,False,6780.75,11:17:26,-1363,10495,0.6,2.545044498872372,BofA-LIS,6748.0,32.75,neutral,3.24,63328236.0,False,False,True,LOSS,-8.0,4.0,4,4.0,8.25,LOSS,-8.0,4.0,4,4.0,8.25,LOSS,-8.0,4.0,4,4.0,8.25,LOSS,-8.0,4.0,4,4.0,8.25,T1:LOSS/T2:LOSS,-8.0,4.0,4,4.0,8.25,LOSS,-4.0,4.0,3,4.0,5.5,LOSS,-8.0
2026-03-03,582,bullish,False,6783.75,11:26:40,-348,9058,0.3,2.1594945762307782,BofA-LIS,6749.0,34.75,neutral,2.96,83401804.0,False,False,True,LOSS,-8.0,4.0,7,4.0,8.5,LOSS,-8.0,4.0,7,4.0,8.5,LOSS,-8.0,4.0,7,4.0,8.5,LOSS,-8.0,4.0,7,4.0,8.5,T1:LOSS/T2:LOSS,-8.0,4.0,7,4.0,8.5,LOSS,-4.0,4.0,6,4.0,5.0,LOSS,-8.0
2026-03-03,613,bearish,False,6802.75,11:47:27,424,6510,0.4,2.028606151257362,BofA-LIS,6743.0,59.75,neutral,2.66,121242771.0,False,False,False,BE,0.0,9.75,10,9.75,1.5,BE,0.0,9.75,10,9.75,1.5,WIN,6.25,16.25,35,16.25,3.5,WIN,6.25,11.25,20,11.25,3.5,T1:WIN/T2:WIN,8.12,11.25,20,11.25,3.5,WIN,1.75,9.75,6,9.75,1.5,WIN,10.0
2026-03-03,624,bearish,True,6799.75,11:55:24,975,8369,0.07692307692307693,0.48318449847553896,BofA-LIS,6738.0,61.75,neutral,2.12,105492728.0,False,False,False,BE,0.0,8.75,12,8.75,6.5,BE,0.0,8.75,12,8.75,6.5,BE,0.0,13.25,27,13.25,6.5,WIN,5.75,10.75,17,10.75,6.5,T1:WIN/T2:WIN,7.88,10.75,17,10.75,6.5,WIN,0.75,8.75,12,8.75,6.5,WIN,10.0
2026-03-03,658,bullish,False,6805.5,12:28:26,-376,5526,0.5,2.0850076405003115,BofA-LIS,6753.0,52.5,neutral,1.93,111968203.0,False,False,True,LOSS,-8.0,2.5,3,2.5,10.0,LOSS,-8.0,2.5,3,2.5,10.0,LOSS,-8.0,2.5,3,2.5,10.0,LOSS,-8.0,2.5,3,2.5,10.0,T1:LOSS/T2:LOSS,-8.0,2.5,3,2.5,10.0,LOSS,-5.5,2.5,2,2.5,6.75,LOSS,-8.0
2026-03-03,674,bullish,False,6802.25,12:46:45,-687,12725,0.25,4.004783710207871,BofA-LIS,6752.0,50.25,neutral,2.28,138297225.0,False,False,True,LOSS,-8.0,5.5,5,5.5,8.25,LOSS,-8.0,5.5,5,5.5,8.25,LOSS,-8.0,5.5,5,5.5,8.25,LOSS,-8.0,5.5,5,5.5,8.25,T1:LOSS/T2:LOSS,-8.0,5.5,5,5.5,8.25,LOSS,-2.5,5.5,4,5.5,7.0,LOSS,-8.0
2026-03-03,676,bearish,False,6802.75,12:52:35,398,7580,0.45,1.9470595034741398,BofA-LIS,6758.0,44.75,neutral,1.83,113853665.0,False,False,False,WIN,6.0,11.0,4,11.0,2.5,BE,0.0,11.0,7,11.0,2.5,BE,0.0,11.0,7,11.0,2.5,WIN,6.0,11.0,4,11.0,2.5,T1:WIN/T2:WIN,8.0,11.0,4,11.0,2.5,WIN,3.0,11.0,5,11.0,2.5,WIN,10.0
2026-03-03,686,bearish,True,6809.0,13:06:06,717,10837,0.0,1.8094753792694298,BofA-LIS,6754.0,55.0,neutral,2.04,117868099.0,False,False,False,BE,0.0,9.75,8,9.75,3.25,BE,0.0,9.75,8,9.75,3.25,LOSS,-8.0,9.75,11,9.75,10.0,LOSS,-8.0,9.75,11,9.75,10.0,T1:LOSS/T2:LOSS,-8.0,9.75,11,9.75,10.0,WIN,1.75,9.75,7,9.75,3.25,LOSS,-8.0
2026-03-03,699,bullish,False,6825.0,13:26:47,-2118,12974,0.2,3.3485178924004075,Undefined,,,neutral,1.55,128427040.0,False,False,True,WIN,5.5,10.5,9,10.5,5.0,WIN,9.25,17.25,14,17.25,5.0,WIN,7.25,17.25,14,17.25,5.0,WIN,5.5,10.5,9,10.5,5.0,T1:WIN/T2:WIN,7.75,10.5,9,10.5,5.0,WIN,9.25,17.25,14,17.25,5.0,WIN,10.0
2026-03-03,710,bullish,True,6837.25,13:42:43,-1224,16256,0.22580645161290322,1.4776434859335563,SIDIAL-EXTREME,6815.0,22.25,neutral,1.23,81746960.0,False,False,True,LOSS,-8.0,3.0,4,3.0,9.0,LOSS,-8.0,3.0,4,3.0,9.0,LOSS,-8.0,3.0,4,3.0,9.0,LOSS,-8.0,3.0,4,3.0,9.0,T1:LOSS/T2:LOSS,-8.0,3.0,4,3.0,9.0,LOSS,-5.0,3.0,3,3.0,6.75,LOSS,-8.0
2026-03-03,718,bearish,False,6837.75,13:53:55,397,8259,0.6,1.5129005962575905,BOFA-PURE,6825.0,12.75,neutral,1.0,86138252.0,False,False,False,WIN,7.0,12.0,8,12.0,3.0,WIN,9.75,17.75,12,17.75,3.0,WIN,7.75,17.75,12,17.75,3.0,WIN,7.0,12.0,8,12.0,3.0,T1:WIN/T2:WIN,8.5,12.0,8,12.0,3.0,WIN,9.75,17.75,12,17.75,3.0,WIN,10.0
2026-03-03,733,bearish,False,6833.5,14:22:19,417,5399,0.2,1.1039206665644328,BOFA-PURE,6817.0,16.5,neutral,1.03,102659441.0,False,False,False,WIN,6.5,11.5,7,11.5,5.25,WIN,9.5,17.5,11,17.5,5.25,WIN,7.5,17.5,11,17.5,5.25,WIN,6.5,11.5,7,11.5,5.25,T1:WIN/T2:WIN,8.25,11.5,7,11.5,5.25,WIN,9.5,17.5,11,17.5,5.25,WIN,10.0
2026-03-03,759,bearish,True,6839.25,14:43:06,871,8349,0.2857142857142857,0.8217405370430282,BOFA-PURE,6806.0,33.25,neutral,1.08,40197971.0,False,False,False,LOSS,-8.0,3.5,4,3.5,9.25,LOSS,-8.0,3.5,4,3.5,9.25,LOSS,-8.0,3.5,4,3.5,9.25,LOSS,-8.0,3.5,4,3.5,9.25,T1:LOSS/T2:LOSS,-8.0,3.5,4,3.5,9.25,LOSS,-4.5,3.5,3,3.5,7.25,LOSS,-8.0
2026-03-03,767,bullish,False,6846.0,14:50:48,-400,7520,0.25,2.392808845756105,BOFA-PURE,6807.0,39.0,neutral,0.63,-8480047.0,False,False,False,LOSS,-8.0,1.75,3,1.75,10.25,LOSS,-8.0,1.75,3,1.75,10.25,LOSS,-8.0,1.75,3,1.75,10.25,LOSS,-8.0,1.75,3,1.75,10.25,T1:LOSS/T2:LOSS,-8.0,1.75,3,1.75,10.25,LOSS,-6.25,1.75,2,1.75,7.0,LOSS,-8.0
2026-03-03,781,bearish,False,6833.0,15:05:04,719,5845,0.4,1.7847873217502823,BOFA-PURE,6811.0,22.0,neutral,0.79,-72323905.0,False,False,True,LOSS,-8.0,2.25,4,2.25,8.25,LOSS,-8.0,2.25,4,2.25,8.25,LOSS,-8.0,2.25,4,2.25,8.25,LOSS,-8.0,2.25,4,2.25,8.25,T1:LOSS/T2:LOSS,-8.0,2.25,4,2.25,8.25,LOSS,-5.75,2.25,2,2.25,6.25,LOSS,-8.0
2026-03-03,790,bullish,False,6828.5,15:22:25,-701,6137,0.3,1.6935494998275267,BOFA-PURE,6812.0,16.5,neutral,1.17,232518895.0,False,False,True,WIN,5.0,10.0,9,10.0,3.75,BE,0.0,10.0,11,10.0,3.75,BE,0.0,10.0,11,10.0,3.75,WIN,5.0,10.0,9,10.0,3.75,T1:WIN/T2:WIN,7.5,10.0,9,10.0,3.75,WIN,2.0,10.0,10,10.0,3.75,WIN,10.0
2026-03-03,804,bullish,False,6830.25,15:45:04,-368,7548,0.65,2.0862066582827765,BOFA-PURE,6815.0,15.25,neutral,1.22,-24226036.0,False,False,False,LOSS,-8.0,1.0,6,1.0,10.5,LOSS,-8.0,1.0,6,1.0,10.5,LOSS,-8.0,1.0,6,1.0,10.5,LOSS,-8.0,1.0,6,1.0,10.5,T1:LOSS/T2:LOSS,-8.0,1.0,6,1.0,10.5,LOSS,-7.0,1.0,2,1.0,7.0,LOSS,-8.0
2026-03-04,395,bearish,False,6828.5,09:43:36,402,4528,0.15,1.809173725427521,SIDIAL-MESSY,6789.0,39.5,neutral,-0.69,12515825.0,False,False,False,WIN,5.75,10.75,4,10.75,0.0,BE,0.0,10.75,7,10.75,1.0,BE,0.0,10.75,7,10.75,1.0,WIN,5.75,10.75,4,10.75,0.0,T1:WIN/T2:WIN,7.88,10.75,4,10.75,0.0,WIN,2.75,10.75,6,10.75,0.0,WIN,10.0
2026-03-04,415,bullish,False,6829.75,09:51:08,-337,3295,0.65,1.9016015005049776,SIDIAL-MESSY,6784.0,45.75,neutral,-0.66,2461118.0,False,False,True,WIN,5.0,10.0,4,10.0,3.25,BE,0.0,10.0,9,10.0,3.25,BE,0.0,10.0,9,10.0,3.25,WIN,5.0,10.0,4,10.0,3.25,T1:WIN/T2:WIN,7.5,10.0,4,10.0,3.25,WIN,2.0,10.0,6,10.0,3.25,WIN,10.0
2026-03-04,419,bearish,False,6834.75,09:54:22,316,3422,0.6,2.0198323692598277,SIDIAL-MESSY,6820.0,14.75,neutral,-0.85,1007151.0,False,False,False,LOSS,-8.0,5.0,7,5.0,9.0,LOSS,-8.0,5.0,7,5.0,9.0,LOSS,-8.0,5.0,7,5.0,9.0,LOSS,-8.0,5.0,7,5.0,9.0,T1:LOSS/T2:LOSS,-8.0,5.0,7,5.0,9.0,LOSS,-3.0,5.0,6,5.0,4.5,LOSS,-8.0
2026-03-04,434,bearish,False,6842.5,10:02:11,429,6603,0.35,3.8366113709653993,SIDIAL-MESSY,6814.0,28.5,neutral,-1.09,12289191.0,False,False,False,WIN,6.5,11.5,5,11.5,4.75,BE,0.0,11.5,8,11.5,4.75,BE,0.0,11.5,8,11.5,4.75,WIN,6.5,11.5,5,11.5,4.75,T1:WIN/T2:WIN,8.25,11.5,5,11.5,4.75,WIN,3.5,11.5,6,11.5,4.75,WIN,10.0
2026-03-04,449,bullish,False,6851.0,10:11:19,-306,9420,0.15,5.737080909893724,SIDIAL-MESSY,6802.0,49.0,neutral,-1.09,16511249.0,False,False,True,BE,0.0,9.25,4,9.25,3.75,BE,0.0,9.25,4,9.25,3.75,WIN,25.25,35.25,16,35.25,3.75,WIN,6.0,11.0,7,11.0,3.75,T1:WIN/T2:WIN,8.0,11.0,7,11.0,3.75,WIN,1.25,9.25,4,9.25,3.75,WIN,10.0
2026-03-04,452,bearish,False,6855.25,10:14:21,520,5774,0.4,2.486114101184069,SIDIAL-MESSY,6802.0,53.25,neutral,-1.67,21376835.0,False,False,False,LOSS,-8.0,4.5,5,4.5,10.75,LOSS,-8.0,4.5,5,4.5,10.75,LOSS,-8.0,4.5,5,4.5,10.75,LOSS,-8.0,4.5,5,4.5,10.75,T1:LOSS/T2:LOSS,-8.0,4.5,5,4.5,10.75,LOSS,-3.5,4.5,3,4.5,3.5,LOSS,-8.0
2026-03-04,463,bearish,True,6881.25,10:30:54,823,23829,0.3,4.312190375088464,GEX-TARGET,6854.0,27.25,neutral,-2.44,-10222050.0,False,False,True,WIN,6.75,11.75,5,11.75,3.5,WIN,12.0,20.0,12,20.0,3.5,WIN,10.0,20.0,12,20.0,3.5,WIN,6.75,11.75,5,11.75,3.5,T1:WIN/T2:WIN,8.38,11.75,5,11.75,3.5,WIN,12.0,20.0,12,20.0,3.5,WIN,10.0
2026-03-04,464,bullish,False,6879.75,10:33:23,-528,8476,0.3,1.5460100319197447,GEX-TARGET,6854.0,25.75,neutral,-2.45,-8487931.0,True,False,False,LOSS,-8.0,0.75,4,0.75,10.25,LOSS,-8.0,0.75,4,0.75,10.25,LOSS,-8.0,0.75,4,0.75,10.25,LOSS,-8.0,0.75,4,0.75,10.25,T1:LOSS/T2:LOSS,-8.0,0.75,4,0.75,10.25,LOSS,-7.25,0.75,4,0.75,10.25,LOSS,-8.0
