trs_t,div_t,dcl_min,dz_min,gate,n_sigs,spd,wr,pnl,max_dd,pf,quality
0.55,0.05,0,1.5,none,29,1.4,0.379,10.8,-22.2,1.18,12.7
0.55,0.1,0,1.5,trend_cons_60,29,1.4,0.379,10.8,-22.2,1.18,12.7
0.55,0.1,0,1.5,none,29,1.4,0.379,10.8,-22.2,1.18,12.7
0.55,0.2,0,1.5,none,29,1.4,0.379,10.8,-22.2,1.18,12.7
0.55,0.0,3,1.5,none,97,4.8,0.433,12.0,-46.8,1.06,12.7
0.55,0.15,0,1.5,trend_cons_60,29,1.4,0.379,10.8,-22.2,1.18,12.7
0.55,0.2,0,1.5,trend_cons_60,29,1.4,0.379,10.8,-22.2,1.18,12.7
0.55,0.0,3,1.5,trend_cons_60,97,4.8,0.433,12.0,-46.8,1.06,12.7
0.55,0.15,0,1.5,none,29,1.4,0.379,10.8,-22.2,1.18,12.7
0.35,0.2,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.3,0.05,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.3,0.1,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.4,0.05,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.2,0.15,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.25,0.2,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.2,0.05,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.3,0.15,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.45,0.1,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.25,0.15,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.2,0.1,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.25,0.1,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.3,0.2,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.4,0.2,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.45,0.2,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.45,0.05,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.2,0.2,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.4,0.1,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.35,0.1,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.35,0.05,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.25,0.05,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.4,0.15,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.35,0.15,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.45,0.15,0,0.0,vol_climax,24,1.2,0.375,9.8,-16.0,1.27,12.3
0.4,0.0,4,1.5,trend_cons_60,154,7.7,0.416,8.8,-87.8,1.02,9.0
0.5,0.0,3,1.5,at_extreme,110,5.5,0.464,5.8,-52.2,1.02,5.9
