time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,VIX · TVC: close
1773772500,6720.44,6721.59,6718.76,6720.37,23441680,33424047.385,44.3782168287175,50.22894939807237,,,,,22.4
1773772800,6720.29,6721.58,6717.61,6717.94,23310470,33404704.835,41.35602948587833,49.61169784075256,,,,,22.41
1773773100,6717.91,6721.11,6717.77,6720.71,27098480,33420486.435,45.88045891641517,48.87358470138621,,,,,22.37
1773773400,6720.67,6723.94,6718.52,6723.68,24050400,33400922.285,50.30730447527972,49.09730797376793,,,,,22.25
1773773700,6723.75,6723.75,6718,6720.2,23783900,33394825.435,45.600586542220086,48.90369930275368,,,,,22.35
1773774000,6720.37,6722.33,6718.82,6719.5,27119420,33408687.685,44.694755560940905,48.21736004682311,,,,,22.3
1773774300,6719.46,6719.46,6715.54,6719.03,26808640,33418566.485,44.061871465239356,47.60467076823715,,,,,22.41
1773774600,6719.09,6721.06,6719.06,6720.99,25757810,33405559.785,47.406461587950595,47.026398043214904,,,,,22.33
1773774900,6721.07,6724.75,6720.72,6723.45,28173560,33374837.235,51.339056514987305,46.501343795077176,,,,,22.28
1773775200,6723.54,6723.6,6720.3,6720.91,26655950,33380471.935,47.398188743994666,46.02221063639503,,,,,22.38
1773775500,6720.97,6721.19,6719.05,6719.92,32816900,33430609.135,45.91867339850921,45.54720384663925,,,,,22.42
1773775800,6719.98,6721.9,6718.33,6718.92,35939920,33496046.935,44.41069612156537,45.672205001156314,,,,,22.46
1773776100,6718.99,6720.38,6718.64,6719,34733750,33556835.585,44.567531614420005,45.844451487945285,,,,,22.48
1773776400,6719.01,6720.25,6716.9,6717.64,39390670,33623068.035,42.37859456559279,45.69274470155079,,,,,22.51
1773776700,6717.65,6720.95,6717.65,6720.89,47722700,33758697.235,48.8445900382109,46.011771359371735,,,,,22.41
1773777000,6720.79,6721.42,6715.47,6721.41,81261130,34058895.885,49.81494497560914,46.61597960863822,,,,,22.41
1773777300,6721.44,6721.44,6713.79,6717.44,191304420,34906260.685,43.09403528294357,46.416949349104534,,,,,22.44
1773777600,6716.34,6716.53,6716.08,6716.08,505720610,37319821.635,41.05077877659967,45.75576894205596,,,,,22.41
1773840600,6691.46,6699.13,6688.97,6696.88,115176243,37772833.2,23.85476294066369,44.20249582765907,,,,,23.21
1773840900,6697.49,6701.83,6696.47,6700.02,41776139,37872911.495,29.086528616125463,43.08762247445797,,,,,22.78
1773841200,6700.5,6704.99,6693.12,6696.16,42844260,37968423.295,26.66142018981887,41.84473309764223,,,,,23.07
1773841500,6696.7,6705.18,6695.55,6700.54,39675297,38057313.58,33.442626146830676,40.84731628041938,,,,,22.92
1773841800,6700.64,6701.93,6695.59,6696.88,36297381,38105497.735,30.873682753731757,39.385503868901125,,,,,22.92
1773842100,6696.71,6701.74,6693.49,6701.74,32872080,38156338.735,37.71553606796693,38.69388582061343,,,,,22.75
1773842400,6702.28,6703.13,6689.6,6694.27,36432120,38231401.135,32.406333962268505,37.72871871802481,,,,,22.89
1773842700,6694.26,6702.79,6691.85,6699.04,33961090,38302884.885,38.372132380502364,37.29739273652031,,,,,22.69
1773843000,6698.65,6698.65,6681.43,6681.43,37644400,38374264.085,28.40478253337089,36.142910659302515,,,,,23.15
1773843300,6681.31,6686.68,6680.97,6684.8,31029460,38410924.035,32.04271804729213,35.40463376513818,,,,,23.1
1773843600,6684.87,6685.97,6681.91,6682.12,24731130,38403193.685,30.706460063700234,34.10905305267313,,,,,23.22
1773843900,6682.17,6682.59,6667.32,6669.24,32948010,38469896.185,25.255399990529455,32.35479983945315,,,,,23.61
1773844200,6669.38,6678,6668.88,6671.31,28764610,38514472.035,27.483462847334394,31.239758951195352,,,,,23.51
1773844500,6671.46,6674.49,6669.13,6670.79,25726980,38520919.035,27.26360168162219,30.25496058726839,,,,,23.56
1773844800,6670.7,6671.06,6666.83,6668.45,25993850,38521532.935,26.246091169614473,30.425769746479155,,,,,23.78
1773845100,6668.33,6673.11,6666.52,6667.75,24829580,38526878.535,25.93427640339499,30.200608874141267,,,,,23.79
1773845400,6667.95,6672.94,6667.95,6671.75,24356790,38540915.685,30.980326737859954,30.509102199001344,,,,,23.63
1773845700,6671.72,6680.04,6671.22,6680.01,26002090,38538339.635,40.06155367854032,30.981882736980605,,,,,23.27
1773846000,6679.83,6685.79,6677.05,6680.49,30868070,38579449.035,40.55106370483205,31.673124233487776,,,,,23.25
1773846300,6680.62,6689.02,6680.53,6689.02,28172120,38612440.635,48.58676074279673,32.4496402816899,,,,,23.01
1773846600,6689.1,6689.21,6683.48,6684.51,25839050,38641090.385,45.11453356565254,33.357368824788765,,,,,23.09
1773846900,6684.5,6686.13,6677.85,6678.31,23249410,38653722.735,40.79805601038293,33.53064908406594,,,,,23.33
1773847200,6678.36,6680.49,6673.84,6680.49,24197960,38670006.735,42.867923355536654,34.5637305713635,,,,,23.31
1773847500,6680.59,6681.72,6678.79,6678.8,22375660,38675571.135,41.65213302111734,35.250117355208154,,,,,23.35
1773847800,6678.24,6685.24,6678.06,6683.02,22394650,38673813.235,45.7868104178972,36.3272852376508,,,,,23.2
1773848100,6683.1,6684.61,6680.62,6683.25,23165380,38686599.485,46.01136352737774,37.80985406171139,,,,,23.2
1773848400,6683.25,6683.45,6677.43,6680.78,22207010,38666160.735,43.908012796796314,38.98303620095867,,,,,23.29
1773848700,6680.83,6682.39,6676.95,6677.86,20764860,38641481.285,41.49314411564561,39.999432089103195,,,,,23.37
1773849000,6677.78,6681.45,6676.12,6681.45,20070460,38623806.685,45.46438501363441,41.37216736367605,,,,,23.3
1773849300,6681.79,6683.2,6678.4,6679.78,20668040,38598012.585,43.96926723321302,42.66038099437734,,,,,23.27
1773849600,6679.74,6679.74,6674.62,6677.56,20951340,38556357.285,41.99231972309415,43.44695192189406,,,,,23.35
1773849900,6677.83,6679.05,6675.69,6676.5,18348310,38519246.285,41.0434056775354,43.51708420753657,,,,,23.42
1773850200,6676.48,6682.94,6674.65,6682.08,17559250,38457601.635,47.73843435666725,44.030467825524795,,,,,23.21
1773850500,6682.22,6682.55,6678.14,6681.87,18146580,38402157.135,47.51972681051428,43.954251116076044,,,,,23.24
1773850800,6682.34,6684.16,6681.69,6682.72,18084820,38326371.035,48.54724273993521,44.19944462852481,,,,,23.19
1773851100,6682.82,6683.01,6679.81,6680.57,22207440,38253964.685,46.08916542982,44.57738101562746,,,,,23.28
1773851400,6680.32,6681.53,6672.25,6672.61,24451080,38184684.235,38.34760504142039,44.25450113604773,,,,,23.53
1773851700,6672.54,6676.37,6667.74,6675.65,23922900,38097202.785,42.331548370021956,44.30303080382663,,,,,23.43
1773852000,6675.87,6677.13,6673.08,6674.39,18476950,37937406.885,41.144796927972074,43.97145841168912,,,,,23.48
1773852300,6674.55,6675.78,6672.12,6675.33,16726130,37611622.385,42.44122710771279,43.716448667427336,,,,,23.45
1773852600,6675.36,6679.86,6673.55,6679.2,17852300,36688150.285,47.56245836725514,43.97748049388868,,,,,23.33
1773852900,6679.17,6680.5,6674.13,6675.24,18601430,34585549.335,43.31552588259189,44.10765062009913,,,,,23.45
1773853200,6675.15,6675.5,6667.59,6671.84,21469420,34315039.21,40.01205604482594,43.71819855089852,,,,,23.56
1773853500,6671.8,6672.91,6668.29,6668.7,17832830,34142749.56,37.191070577035774,43.23404164688586,,,,,23.63
1773853800,6668.63,6669.69,6663.86,6665.39,17431220,34005087.32,34.4349837702229,42.6942319359665,,,,,23.71
1773854100,6665.48,6668.93,6664.08,6668.64,19110520,33872282.105,39.199323012543,42.56251174560989,,,,,23.66
1773854400,6668.69,6669.83,6667.71,6669.58,17775270,33784003.505,40.545021932376336,42.048696572446254,,,,,23.64
1773854700,6669.69,6669.74,6666.49,6667.46,15979740,33672866.955,38.47664639983779,41.402762257397924,,,,,23.63
1773855000,6667.54,6668.98,6662.86,6668.98,18857860,33569635.955,40.80820209404203,40.849973639834126,,,,,23.61
1773855300,6669.03,6673.71,6669.03,6672.86,18924200,33497190.005,46.3929144690257,40.87166999977739,,,,,23.51
1773855600,6672.85,6672.85,6667.47,6668.6,19249990,33405272.305,41.73682569715895,41.113757189473006,,,,,23.61
1773855900,6668.61,6674.85,6668.27,6670.58,23138410,33357972.505,44.52369985954093,41.270339438724356,,,,,23.49
1773856200,6670.64,6673.99,6668.49,6673.99,19342490,33318213.705,49.04424040652342,41.83458540147803,,,,,23.43
