date,time_et,bar_idx,direction,entry_price,scenario,vol_ratio_raw,vol_ratio_rate,vol_per_sec,duration_sec,volume,div_raw,div_gap,cvd_norm,grade_estimate,score_estimate,outcome,pnl,mfe,mae,bars_held
2026-03-06,11:30:39,471,long,6761.25,A,1.4038,1.2207,72.2754,60.93,4404,2,0.6585,-0.536,B,20.8,LOSS,-8,3.25,-8.5,4
2026-03-06,11:45:52,487,short,6770.75,A,1.9813,1.0174,51.8679,108.16,5610,2,0.4235,0.8764,B,20.8,LOSS,-8,3.0,-8.25,3
2026-03-06,11:54:27,492,short,6764.75,B,0.5201,1.5953,80.7792,20.36,1645,2,0.6997,0.6239,B,20.8,LOSS,-8,4.5,-9.25,5
2026-03-06,12:00:21,501,short,6769.5,A,1.797,0.7048,37.3054,136.15,5079,2,0.6731,0.8549,B,20.8,LOSS,-8,5.0,-8.0,4
2026-03-06,12:10:03,512,long,6757.5,A,1.4983,0.5024,28.2487,121.95,3445,2,0.4667,-1.0,B,20.8,WIN,10,12.0,-4.5,9
2026-03-06,12:25:26,524,long,6756.0,B,0.5814,1.7088,77.607,18.37,1426,2,0.59,-0.59,B,20.8,LOSS,-8,6.0,-10.0,9
2026-03-06,12:29:54,530,long,6759.5,A,2.4791,0.7199,30.4758,205.74,6270,1,0.3973,-1.0,B,23.0,LOSS,-8,1.0,-9.0,2
2026-03-06,12:46:25,540,long,6750.75,A,1.488,0.7851,37.1758,122.5,4554,2,0.471,-0.7589,B,20.8,WIN,10,11.0,-2.75,12
2026-03-06,13:11:08,561,short,6766.0,B,1.0294,1.6583,64.7755,39.12,2534,2,0.4266,0.7197,B,20.8,LOSS,-8,1.5,-12.5,3
2026-03-06,13:12:41,563,short,6773.5,A,1.5861,1.7296,70.2297,55.77,3917,1,0.2273,1.0,C,14.5,WIN,10,11.25,-7.0,15
2026-03-06,13:12:41,563,short,6773.5,C,1.5861,1.7296,70.2297,55.77,3917,1,0.2273,1.0,C,14.5,WIN,10,11.25,-7.0,15
2026-03-06,13:38:22,588,long,6760.75,A,1.611,0.631,30.1349,148.43,4473,2,0.648,-0.8517,B,20.8,WIN,10,11.5,-5.25,16
2026-03-06,13:56:00,598,long,6758.0,A,4.4307,0.6781,25.6399,490.02,12564,1,0.3441,-0.7191,A,31.2,WIN,10,10.5,-1.5,5
2026-03-06,14:23:51,611,short,6764.25,B,0.967,5.2498,171.2519,19.11,3273,1,0.3114,0.3691,C,14.5,LOSS,-8,6.25,-8.5,5
2026-03-06,14:27:15,615,short,6770.75,A,2.0359,0.8993,34.8737,190.6,6647,2,0.4814,0.7167,A,29.2,WIN,10,10.5,-4.5,12
2026-03-06,14:41:45,623,long,6770.25,A,1.7322,1.0116,39.5531,136.2,5387,3,0.9578,-0.642,B,27.0,LOSS,-8,0.5,-8.25,2
2026-03-06,15:01:32,632,long,6773.75,B,1.1071,1.4862,49.3676,80.42,3970,3,1.1733,-0.7409,B,27.0,LOSS,-8,3.25,-8.75,3
2026-03-06,15:02:52,633,long,6772.0,A,2.3022,0.9921,33.838,250.64,8481,4,1.5281,-0.9876,A+,41.8,LOSS,-8,2.5,-11.5,3
2026-03-06,15:21:16,645,long,6748.25,A,1.5924,0.9063,51.7962,131.75,6824,1,0.3421,-0.9628,C,14.5,LOSS,-8,3.0,-10.0,3
2026-03-06,15:40:28,663,short,6745.5,B,0.4383,4.3089,273.0015,5.92,1615,1,0.2542,0.7157,C,14.5,WIN,10,12.0,-7.0,26
2026-03-06,15:42:28,669,short,6743.5,A,1.7741,0.4112,50.2445,112.51,5653,1,0.3795,0.7858,C,14.5,WIN,10,10.0,-7.75,20
2026-03-06,15:54:14,681,short,6740.75,A,2.3065,0.8007,126.6853,59.37,7521,1,0.2305,0.2832,B,23.0,LOSS,-8,1.25,-10.5,3
2026-03-06,15:59:07,686,long,6742.25,A,10.1947,6.9241,914.9622,51.01,46672,3,0.9355,-0.6147,A+,43.8,LOSS,-8,3.0,-8.75,3
2026-03-06,15:59:07,686,long,6742.25,B,10.1947,6.9241,914.9622,51.01,46672,3,0.9355,-0.6147,A+,43.8,LOSS,-8,3.0,-8.75,3
2026-03-06,15:59:07,686,long,6742.25,C,10.1947,6.9241,914.9622,51.01,46672,3,0.9355,-0.6147,A+,43.8,LOSS,-8,3.0,-8.75,3
2026-03-09,09:30:18,515,short,6687.0,B,0.8334,3.1014,75.28,26.99,2032,1,0.3124,0.679,C,14.5,WIN,10,11.5,-4.25,7
2026-03-09,09:33:39,523,long,6679.75,B,0.4381,1.5752,88.1712,13.39,1181,1,0.3004,-0.7398,C,14.5,LOSS,-8,3.75,-10.5,10
2026-03-09,09:34:05,525,short,6683.5,A,2.5804,1.4558,92.5091,70.22,6496,3,0.8236,0.4751,A,35.5,WIN,10,10.0,0.0,5
2026-03-09,09:34:05,525,short,6683.5,B,2.5804,1.4558,92.5091,70.22,6496,3,0.8236,0.4751,A,35.5,WIN,10,10.0,0.0,5
2026-03-09,09:34:05,525,short,6683.5,C,2.5804,1.4558,92.5091,70.22,6496,3,0.8236,0.4751,A,35.5,WIN,10,10.0,0.0,5
2026-03-09,09:40:01,540,long,6661.75,A,2.5156,1.0143,93.9324,51.1,4800,1,0.3234,-0.9955,B,23.0,LOSS,-8,2.5,-8.25,12
2026-03-09,09:41:02,542,long,6659.25,B,0.5226,1.4204,134.0332,8.03,1076,1,0.3559,-1.0,C,14.5,LOSS,-8,3.75,-8.0,11
2026-03-09,09:46:02,554,long,6661.0,B,0.4765,3.3637,352.1751,3.3,1162,2,0.7271,-0.8335,B,20.8,LOSS,-8,6.0,-8.25,9
2026-03-09,09:46:13,557,long,6657.25,A,1.7964,0.6276,87.9588,47.89,4212,2,0.4559,-0.4241,B,20.8,LOSS,-8,9.5,-8.0,10
2026-03-09,09:52:35,570,short,6654.75,B,1.1123,1.4714,229.5773,10.34,2373,2,0.4176,0.5605,B,20.8,WIN,10,10.5,-1.0,3
2026-03-09,09:55:28,577,long,6658.25,B,0.3399,1.7408,219.1557,3.83,840,2,0.4679,-0.5162,B,20.8,WIN,10,10.25,-4.5,20
2026-03-09,09:59:28,591,long,6660.25,A,2.695,0.821,85.9804,58.87,5062,1,0.3757,-0.4982,B,23.0,WIN,10,12.75,-5.5,7
2026-03-09,10:03:12,598,short,6673.0,B,0.9718,1.9658,172.132,10.72,1846,1,0.2524,0.7456,C,14.5,WIN,10,13.25,-4.0,7
2026-03-09,10:04:19,602,short,6672.0,A,2.1269,0.8667,74.1942,52.21,3874,1,0.2247,1.0,B,23.0,WIN,10,12.25,-1.75,3
2026-03-09,10:06:28,612,long,6649.5,A,3.5812,0.5384,121.4871,51.82,6295,1,0.3371,-1.0,A,31.2,LOSS,-8,6.0,-8.0,9
2026-03-09,10:08:47,616,short,6651.0,A,1.5875,0.4911,115.3991,28.92,3337,2,0.6231,0.1975,B,20.8,WIN,10,10.0,-2.5,6
2026-03-09,10:16:36,630,short,6654.5,B,0.6034,1.7612,162.787,9.17,1493,1,0.3704,1.0,C,14.5,LOSS,-8,7.0,-9.5,21
2026-03-09,10:18:47,642,short,6654.5,A,1.4744,0.5733,63.1801,35.2,2224,2,0.6239,0.9829,B,20.8,LOSS,-8,7.0,-9.5,9
2026-03-09,10:22:24,651,short,6664.0,B,1.1118,5.5674,588.9115,2.3,1357,2,0.6451,0.9481,B,20.8,LOSS,-8,2.75,-8.25,3
2026-03-09,10:22:26,652,short,6666.25,A,2.5373,0.9836,122.8847,24.9,3060,1,0.293,0.7063,B,23.0,LOSS,-8,0.75,-8.5,3
