id,ts_et,setup_name,direction,grade,score,spot,paradigm,greek_alignment,vix,overvix,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level
420,2026-03-03 14:54:41.197307,Skew Charm,long,C,43.0,6827.02,BOFA-PURE,2,22.49,,EXPIRED,-12.09,5.88,-17.4,,timeout,6837.02,6807.02
424,2026-03-03 15:25:40.818579,Skew Charm,long,C,38.0,6818.96,BOFA-PURE,2,23.02,,EXPIRED,-4.03,8.73,-9.34,,timeout,6828.96,6798.96
426,2026-03-03 15:44:40.814308,Skew Charm,short,C,45.0,6819.16,BOFA-PURE,0,23.21,,EXPIRED,4.23,9.54,-2.58,,timeout,6809.16,6839.16
430,2026-03-04 09:45:28.823975,Skew Charm,long,A+,85.0,6813.38,SIDIAL-MESSY,3,23.12,,WIN,8.1,14.25,-1.74,4,target,,6819.63
435,2026-03-04 10:16:01.112207,Skew Charm,long,A+,93.0,6847.14,SIDIAL-MESSY,3,21.56,,WIN,16.0,30.09,2.47,19,target,,6869.23
438,2026-03-04 10:24:30.041900,Skew Charm,short,A+,93.0,6865.91,SIDIAL-MESSY,-1,20.78,,WIN,6.6,11.28,-11.32,26,target,,6862.63
441,2026-03-04 10:46:29.819295,Skew Charm,long,A+,93.0,6857.87,SIDIAL-MESSY,3,21.28,,WIN,12.3,22.51,-1.05,19,target,,6872.3799
442,2026-03-04 10:57:29.782832,Skew Charm,short,A+,93.0,6869.02,SIDIAL-MESSY,-1,20.78,,WIN,6.6,11.17,-11.36,30,target,,6865.85
447,2026-03-04 11:16:59.801192,Skew Charm,long,A,78.0,6862.73,GEX-TARGET,3,21.09,,WIN,8.6,15.16,-4.88,65,target,,6869.89
450,2026-03-04 11:32:29.842646,Skew Charm,short,A,78.0,6869.04,GEX-TARGET,-1,20.95,,EXPIRED,-4.4,3.99,-16.9,264,timeout,,6889.04
454,2026-03-04 12:03:29.949288,Skew Charm,short,A,68.0,6875.81,GEX-TARGET,-1,20.75,,WIN,7.7,13.49,-2.03,31,target,,6870.32
458,2026-03-04 12:32:04.476087,Skew Charm,long,A,68.0,6865.05,GEX-TARGET,3,21.29,,WIN,7.8,13.51,1.94,49,target,,6870.56
459,2026-03-04 12:39:30.831342,Skew Charm,short,A,68.0,6874.21,GEX-TARGET,-1,20.92,,EXPIRED,0.8,4.73,-11.73,197,timeout,,6894.21
464,2026-03-04 13:04:04.728984,Skew Charm,short,B,63.0,6877.47,GEX-TARGET,-1,20.83,,EXPIRED,4.1,7.99,-8.47,173,timeout,,6897.47
467,2026-03-04 13:18:08.645772,Skew Charm,short,B,63.0,6873.52,GEX-TARGET,-1,20.88,,EXPIRED,0.1,4.04,-12.42,158,timeout,,6893.52
471,2026-03-04 13:50:37.798348,Skew Charm,short,A,78.0,6882.43,GEX-PURE,-1,20.64,,WIN,7.0,12.07,-3.51,99,target,,6878.36
473,2026-03-04 14:25:07.901773,Skew Charm,short,A,68.0,6883.76,GEX-PURE,1,20.53,,WIN,7.7,13.4,-2.18,65,target,,6878.36
474,2026-03-04 15:00:37.765249,Skew Charm,short,A,66.0,6884.17,GEX-PURE,1,20.55,,WIN,7.9,13.81,-0.52,29,target,,6878.36
477,2026-03-04 15:32:06.633675,Skew Charm,short,LOG,28.0,6876.49,GEX-LIS,-1,21.11,,EXPIRED,3.1,7.01,-4.31,24,timeout,,6896.49
