trade_date,time_et_str,direction,bar_idx,close,delta,outcome,pnl,bars_held,max_fav,is_swing_high,is_swing_low,bars_since_swing_high,bars_since_swing_low,cvd_price_div_5,cvd_price_div_8,price_trend_5,price_trend_8,trend_consistency_5,trend_bars,delta_cluster_len,delta_cluster_sum,delta_zscore,delta_percentile,vol_rate_zscore,is_volume_climax,is_at_extreme_10,is_at_extreme_20,bar_position_in_range_20,body_ratio,trend_reversal_score,paradigm,lis,svb,lis_dist
2026-03-04,15:57,BULL,558,6875.75,-2447,EXPIRED,-2.25,1,2.75,0.0,0.0,1.0,3.0,0.0,0.0,-4.5,-10.0,0.6,1.0,7.0,-7847.0,-3.362587607901216,1.0,-0.01832985076465758,0.0,-1.0,-1.0,0.0,0.7,0.5700000000000001,BOFA-PURE,,-1.98,
2026-03-05,10:00,BEAR,275,6876.75,530,WIN,18.25,8,26.25,0.0,0.0,7.0,6.0,0.0,0.0,16.25,16.5,1.0,6.0,6.0,2701.0,1.573155652670072,0.9666666666666667,1.5769897012775171,0.0,1.0,1.0,1.0,0.7,0.5548770435113382,,,0.3,
2026-03-05,10:07,BULL,280,6855.0,-439,LOSS,0.0,6,8.0,0.0,0.0,4.0,11.0,0.0,0.0,-21.75,-10.25,0.8,4.0,5.0,-2065.0,-1.4894299991419355,0.8333333333333334,7.832816213308831,1.0,-1.0,0.0,0.25,1.0,0.6592953332761291,SIDIAL-BALANCE,,0.01,
2026-03-05,11:11,BULL,349,6812.75,-571,WIN,4.5,6,12.5,0.0,0.0,9.0,12.0,0.0,0.0,-15.25,-23.75,1.0,9.0,2.0,-888.0,-1.8129871183861772,0.9666666666666667,5.108442925526656,1.0,-1.0,-1.0,0.0,0.9,0.6308658078924119,SIDIAL-EXTREME,,0.97,
2026-03-05,12:02,BEAR,395,6838.5,551,WIN,7.5,9,15.5,0.0,0.0,10.0,5.0,0.0,0.0,9.75,10.5,0.8,1.0,14.0,2913.0,2.5594707956367913,1.0,-0.2032340532075433,0.0,1.0,1.0,1.0,0.75,0.5806313863757862,SIDIAL-EXTREME,,1.17,
2026-03-05,12:31,BULL,422,6799.5,-821,LOSS,-7.25,4,0.75,0.0,0.0,5.0,7.0,0.0,0.0,-13.25,-10.75,0.8,2.0,6.0,-1996.0,-3.0042316159118387,1.0,0.04586905733253684,0.0,-1.0,-1.0,0.0,0.95,0.6100000000000001,BofA-LIS,,1.67,
2026-03-05,14:30,BULL,518,6780.5,-606,WIN,10.0,13,18.0,0.0,0.0,1.0,3.0,0.0,0.0,-9.75,-13.75,0.6,1.0,6.0,-1310.0,-2.7625997515812006,1.0,3.1911050823873857,0.0,-1.0,-1.0,0.0,0.75,0.55417331677208,BOFA-PURE,,2.68,
2026-03-05,15:04,BEAR,540,6800.25,640,WIN,3.5,5,11.5,0.0,0.0,10.0,4.0,0.0,0.0,15.5,10.25,0.6,1.0,5.0,2304.0,1.3814873427527112,0.9,0.7209939474607896,1.0,1.0,1.0,1.0,0.5,0.6120991561835141,BOFA-PURE,,2.89,
2026-03-05,15:50,BEAR,580,6832.5,576,LOSS,0.0,4,8.0,0.0,0.0,7.0,3.0,0.0,0.0,10.25,7.0,0.8,3.0,4.0,2422.0,1.3036086029362504,0.8,127.1173779860633,1.0,1.0,1.0,1.0,0.8,0.61690724019575,AG-LIS,6820.0,1.69,12.5
2026-03-06,09:35,BULL,284,6735.0,-526,LOSS,-6.5,2,1.5,0.0,0.0,4.0,9.0,0.0,0.0,-13.25,-11.75,0.6,1.0,2.0,-586.0,-1.9845292308990445,1.0,4.174568501961977,1.0,-1.0,-1.0,0.0,0.85,0.562301948726603,SIDIAL-MESSY,,-17.36,
